Loại,Tên,Công ty / Tổ chức,Số giấy phép,Địa chỉ tên miền,Trạng thái,URL chi tiết
Mạng Xã Hội,Tinh Tế,CÔNG TY CỔ PHẦN MẠNG XÃ HỘI TINH TẾ,41/GP-BVHTTDL,https://tinhte.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/132060
Mạng Xã Hội,Winpro,TỔNG CÔNG TY TRUYỀN THÔNG (VNPT),09/GP-BVHTTDL,https://mwinpro.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/131795
Mạng Xã Hội,WEBTRETHO,CÔNG TY CỔ PHẦN THE PARENT,191/GP-BVHTTDL,https://webtretho.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/131743
Mạng Xã Hội,Mạng xã hội Âm Nhạc NCT,CÔNG TY CỔ PHẦN NCT,140/GP-BVHTTDL,https://nct.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/131742
Mạng Xã Hội,Tinh Tế,CÔNG TY CỔ PHẦN MẠNG XÃ HỘI TINH TẾ,134/GP-BVHTTDL,https://tinhte.vn,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/131740
Mạng Xã Hội,,Công ty TNHH Đông Thành - Hòa Phúc.,81 /GXN-PTTH&TTĐT,https://loanhacnheo.vn.,Đang hoạt động,https://giayphep.abei.gov.vn/s/115637
Mạng Xã Hội,Sky,Công ty TNHH Công nghệ mạng Sky,71/GXN-PTTH&TTĐT,https://thietbicongnemangsky.co,Đang hoạt động,https://giayphep.abei.gov.vn/s/115636
Mạng Xã Hội,E.ON,Công ty Cổ phần Công nghệ giáo dục AES,62 /GXN-PTTH&TTĐT,https://aes.edu.vn.,Đang hoạt động,https://giayphep.abei.gov.vn/s/115635
Mạng Xã Hội,TheDEAL,Công ty Cổ phần TheDEAL Việt Nam.,61/GXN-PTTH&TTĐT,https://thedeal.vn.,Đang hoạt động,https://giayphep.abei.gov.vn/s/115634
Mạng Xã Hội,Style - Republik,CÔNG TY TNHH THỜI TRANG VÀ TRUYỀN THÔNG FACE & STYLE REPUBLIK VIỆT NAM,56 /GXN-PTTH&TTĐT,https://stylerepublik.vn.,Đang hoạt động,https://giayphep.abei.gov.vn/s/111677
Mạng Xã Hội,,CÔNG TY TNHH VIỄN THÔNG ĐA PHƯƠNG TIỆN THỜI NÉT SỐ,44/GP-BTTTT,http://thoinetso.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/130148
Mạng Xã Hội,,CÔNG TY TNHH CHỢ TỐT,20/GP-BTTTT,https://www.nhatot.com.vn; www.nhatot.com,Đang hoạt động,https://giayphep.abei.gov.vn/s/128132
Mạng Xã Hội,,CÔNG TY CỔ PHẦN ONEID,06 /GP-BTTTT,https://www.vinid.vn,Đang hoạt động,https://giayphep.abei.gov.vn/s/115642
Mạng Xã Hội,,CÔNG TY CỔ PHẦN VIỆT NAM GOLF,03/GP-BTTTT,https://www.vHandicap.vn; www.vHandicap.com.,Đang hoạt động,https://giayphep.abei.gov.vn/s/127661
Mạng Xã Hội,,CÔNG TY TNHH THỜI TRANG VÀ TRUYỀN THÔNG FACE & STYLE REPUBLIK VIỆT NAM,398/GP-BTTTT,http://lofficielvietnam.vn/,Đang hoạt động,https://giayphep.abei.gov.vn/s/129831
Mạng Xã Hội,,CÔNG TY TNHH GTC SAO PHƯƠNG ĐÔNG,399/GP-BTTTT,http://gtconnect.vn/,Ngừng hoạt động,https://giayphep.abei.gov.vn/s/130544
Mạng Xã Hội,,CÔNG TY CỔ PHẦN TRAVEL NETWORK,391/GP-BTTTT,"http://dulichamthuc.vn, http://foodtravelvietnam.com",Đang hoạt động,https://giayphep.abei.gov.vn/s/128503
