keyword,Lĩnh vực,violation_level
nhà cái,Cờ bạc,1
soi kèo,Cờ bạc,1
tỷ lệ kèo,Cờ bạc,1
đặt cược,Cờ bạc,1
đánh bài,Cờ bạc,1
tá lả,Cờ bạc,1
tài xỉu,Cờ bạc,1
sâm lốc,Cờ bạc,1
poker,Cờ bạc,1
cá độ,Cờ bạc,1
cá cược,Cờ bạc,1
casino,Cờ bạc,1
rich game,Cờ bạc,1
blackjack,Cờ bạc,1
baccarat,Cờ bạc,1
bull bull,Cờ bạc,1
jackspot,Cờ bạc,1
slot game,Cờ bạc,1
game bài,Cờ bạc,1
sòng bạc ,Cờ bạc,1
sòng bài,Cờ bạc,1
nổ hũ,Cờ bạc,1
đá gà,Cờ bạc,1
sòng bạc,Cờ bạc,1
đánh bạc,Cờ bạc,1
xì dách,Cờ bạc,1
phỏm,Cờ bạc,1
liêng,Cờ bạc,1
ba cây,Cờ bạc,1
mậu binh,Cờ bạc,1
xóc đĩa,Cờ bạc,1
binh xập xám,Cờ bạc,1
lô đề,Cờ bạc,1
đánh lô,Cờ bạc,1
đánh đề,Cờ bạc,1
soi cầu,Cờ bạc,1
dự đoán xổ số,Cờ bạc,1
kết quả xổ số,Cờ bạc,1
casino online,Cờ bạc,1
game đổi thưởng,Cờ bạc,1
cổng game đổi thưởng,Cờ bạc,1
rút tiền game bài,Cờ bạc,1
nạp tiền game bài,Cờ bạc,1
vòng quay may mắn,Cờ bạc,1
quay hũ,Cờ bạc,1
bắn cá đổi thưởng,Cờ bạc,1
đại lý cá cược,Cờ bạc,1
kèo nhà cái,Cờ bạc,1
tỷ số trực tiếp,Cờ bạc,1
cá độ bóng đá,Cờ bạc,1
cá độ thể thao,Cờ bạc,1
cược thể thao,Cờ bạc,1
thực phẩm chức năng,y tế và thực phẩm chức năng,0
thực phẩm bảo vệ sức khỏe,y tế và thực phẩm chức năng,0
thay thế thuốc chữa bệnh,y tế và thực phẩm chức năng,0
thuốc chữa bệnh,y tế và thực phẩm chức năng,0
